Year,Area Treated with fertilizers,DAP,Urea,Super Phosphate,Ammonium Sulphate
2000,9092,48791,6101,4343,3666
2000,715,81687,45494,2837,4357
2000,902,13669,33678,1685,3452
2000,142,25612,31642,3650,2286
2000,286,75294,20400,2904,2062
2001,110,2513,3570,2403,4340
2001,466,37898,15649,3328,2582
2001,518,57245,29419,2344,4566
2001,638,99466,29021,4949,3629
2001,934,84124,1300,2879,1276
2002,109,74988,38244,1552,4441
2002,788,25484,49486,4978,3089
2002,972,65788,18922,1544,2189
2002,190,55093,1425,4809,4480
2002,377,50509,16825,4857,3997
2003,497,48342,15541,4758,4039
2003,333,13706,43577,1941,1830
2003,666,83033,34797,4303,2307
2003,259,60781,40872,2248,4717
2003,836,622,31924,3199,1715
2004,606,5263,6885,4199,1513
2004,257,97280,30411,2378,1217
2004,215,15145,47275,3753,3625
2004,570,87855,26248,3331,3177
2004,534,74777,27920,2583,4778
2005,730,8889,14580,1895,3062
2005,751,94955,46551,4716,4734
2005,535,15020,12985,1217,1679
2005,638,98612,7576,3242,878
2005,344,7645,41445,2112,894
2006,726,37509,13725,1649,1130
2006,517,99038,33021,2392,4832
2006,520,3404,11838,2352,4327
2006,253,93286,4407,1048,2547
2006,619,18783,16858,4522,2977
2007,423,75148,32780,1504,2427
2007,258,58205,32336,3645,2568
2007,925,35915,31246,4422,1034
2007,492,5807,22875,3859,1936
2007,166,961,41282,1782,2502
2008,565,30853,3415,3923,3494
2008,628,97880,41761,4765,3377
2008,255,55300,10823,4469,3005
2008,945,76657,17225,1284,4445
2008,241,86443,27348,4923,2409
2009,392,50344,27818,4495,3001
2009,288,98099,41356,4380,2914
2009,595,45601,30769,1711,3401
2009,468,85619,12071,1585,778
2009,816,2518,17034,2559,2507
2010,729,86089,13351,2367,4948
2010,696,50258,36792,3562,1342
2010,580,55939,791,4449,4151
2010,34,63608,6713,4431,797
2010,154,5941,18453,1570,4800
2011,15356,1427000,3189837,386443,6540
2011,9948,729720,1575572,201048,4257
2011,8600,611021,1436259,141733,6450
2011,5993,416471,1192690,66687,3526
2011,1810,136854,449336,11877,1093
